order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O00080,C0002,P0006,2024-04-24,1,0.0,UPI,returned
O00082,C0004,P0004,2024-08-26,3,0.1,Card,delivered
O00083,C0024,P0002,2024-03-24,3,0.0,UPI,cancelled
O00084,C0019,P0007,2024-07-22,2,0.0,Card,delivered
O00085,C0025,P0005,2024-12-16,1,0.2,UPI,delivered
O00086,C0014,P0006,2024-02-05,3,0.0,Cash on Delivery,pending
O00087,C0004,P0007,2024-07-04,4,0.05,Cash on Delivery,delivered
O00088,C0017,P0005,2024-11-11,4,0.15,Cash on Delivery,pending
O00089,C0019,P0005,2024-06-14,2,0.0,Net Banking,cancelled
O00090,C0008,P0008,2024-10-18,4,0.1,UPI,delivered
O00091,C0011,P0003,2024-09-06,2,0.1,Net Banking,delivered
O00092,C0029,P0005,2024-10-11,1,0.2,Card,delivered
O00093,C0024,P0007,2024-09-07,2,0.15,Cash on Delivery,delivered
O00095,C0019,P0006,2024-08-30,3,0.15,Net Banking,delivered
O00096,C0015,P0005,2024-06-05,3,0.05,UPI,delivered
O00097,C0011,P0002,2024-10-01,2,0.05,Card,delivered
O00098,C0009,P0009,2024-11-01,3,0.0,Card,delivered
O00099,C0012,P0003,2024-06-03,1,0.2,Card,delivered
O00100,C0002,P0009,2024-05-29,2,0.15,UPI,cancelled
O00101,C0019,P0005,2024-08-28,4,0.15,Net Banking,delivered
O00102,C0002,P0005,2024-09-01,1,0.0,Cash on Delivery,delivered
O00104,C0008,P0002,2024-10-12,4,0.2,Card,pending
O00105,C0013,P0008,2024-08-14,3,0.2,Cash on Delivery,delivered
O00107,C0003,P0003,2024-05-02,2,0.2,UPI,delivered
O00108,C0014,P0008,2024-12-18,4,0.1,UPI,delivered
O00109,C0023,P0005,2024-12-25,4,0.0,Card,cancelled
O00110,C0026,P0004,2024-08-05,1,0.2,Card,delivered
O00111,C0030,P0005,2024-03-13,1,0.0,Card,pending
O00112,C0020,P0005,2024-08-12,1,0.15,Net Banking,delivered
O00113,C0009,P0009,2024-10-03,4,0.15,UPI,delivered
O00114,C0029,P0007,2024-06-14,3,0.0,UPI,delivered
O00116,C0006,P0008,2024-09-22,4,0.1,Card,returned
O00117,C0014,P0008,2024-02-16,4,0.1,Cash on Delivery,delivered
O00118,C0022,P0002,2024-03-23,3,0.15,Cash on Delivery,delivered
O00119,C0013,P0009,2024-01-19,4,0.0,Net Banking,delivered
O00120,C0004,P0007,2024-09-20,1,0.2,Cash on Delivery,delivered
